ZIP CODE,BOROUGH,SALE PRICE,log_saleprice,pop_est,number_of_schools,hate_count,borough_name
10466,2,372587,12.82822584657853,72479.0,3.0,151,BRONX
10466,2,335000,12.721885810807203,72479.0,3.0,151,BRONX
10466,2,396550,12.890557415511466,72479.0,3.0,151,BRONX
10466,2,275000,12.524526376648708,72479.0,3.0,151,BRONX
10466,2,365000,12.80765263256463,72479.0,3.0,151,BRONX
10466,2,300000,12.611537753638338,72479.0,3.0,151,BRONX
10466,2,240000,12.388394202324129,72479.0,3.0,151,BRONX
10466,2,424000,12.957488734214095,72479.0,3.0,151,BRONX
10466,2,450000,13.017002861746503,72479.0,3.0,151,BRONX
10466,2,469000,13.058358047428417,72479.0,3.0,151,BRONX
10466,2,375000,12.834681304952548,72479.0,3.0,151,BRONX
10466,2,210100,12.255338886833092,72479.0,3.0,151,BRONX
10466,2,500,6.214608098422191,72479.0,3.0,151,BRONX
10466,2,10,2.302585092994046,72479.0,3.0,151,BRONX
10466,2,100000,11.512925464970229,72479.0,3.0,151,BRONX
10466,2,399000,12.896716695872,72479.0,3.0,151,BRONX
10466,2,323850,12.688035724611064,72479.0,3.0,151,BRONX
10466,2,345000,12.751299696013497,72479.0,3.0,151,BRONX
10466,2,395000,12.886641043883259,72479.0,3.0,151,BRONX
10466,2,525000,13.17115354157376,72479.0,3.0,151,BRONX
10475,2,260000,12.468436909997665,43208.0,2.0,151,BRONX
10475,2,211000,12.259613412458204,43208.0,2.0,151,BRONX
10475,2,228775,12.34049426678358,43208.0,2.0,151,BRONX
10475,2,350000,12.765688433465597,43208.0,2.0,151,BRONX
10475,2,490000,13.102160670086809,43208.0,2.0,151,BRONX
10475,2,265000,12.487485104968359,43208.0,2.0,151,BRONX
10475,2,330000,12.706847933442663,43208.0,2.0,151,BRONX
10469,2,560000,13.235692062711331,73870.0,5.0,151,BRONX
10469,2,15000,9.615805480084347,73870.0,5.0,151,BRONX
10469,2,357000,12.785491060761776,73870.0,5.0,151,BRONX
10469,2,325000,12.691580461311874,73870.0,5.0,151,BRONX
10469,2,250000,12.429216196844383,73870.0,5.0,151,BRONX
10469,2,465000,13.049792684569493,73870.0,5.0,151,BRONX
10469,2,619000,13.335860551666734,73870.0,5.0,151,BRONX
10469,2,262000,12.476099782743233,73870.0,5.0,151,BRONX
10469,2,214825,12.277579022181424,73870.0,5.0,151,BRONX
10469,2,145000,11.884489021402711,73870.0,5.0,151,BRONX
10469,2,370000,12.821258284620408,73870.0,5.0,151,BRONX
10469,2,10,2.302585092994046,73870.0,5.0,151,BRONX
10469,2,423280,12.955789177578014,73870.0,5.0,151,BRONX
10469,2,465000,13.049792684569493,73870.0,5.0,151,BRONX
10469,2,450000,13.017002861746503,73870.0,5.0,151,BRONX
10469,2,255000,12.449018824140563,73870.0,5.0,151,BRONX
10469,2,230000,12.345834587905333,73870.0,5.0,151,BRONX
10469,2,260000,12.468436909997665,73870.0,5.0,151,BRONX
10469,2,485000,13.091904169919621,73870.0,5.0,151,BRONX
10469,2,381600,12.852128218556269,73870.0,5.0,151,BRONX
10469,2,545000,13.208541073645382,73870.0,5.0,151,BRONX
10469,2,258100,12.461102385706706,73870.0,5.0,151,BRONX
10469,2,190000,12.154779351142624,73870.0,5.0,151,BRONX
10469,2,325000,12.691580461311874,73870.0,5.0,151,BRONX
10469,2,200000,12.206072645530174,73870.0,5.0,151,BRONX
10469,2,152000,11.931635799828413,73870.0,5.0,151,BRONX
10469,2,400000,12.89921982609012,73870.0,5.0,151,BRONX
10469,2,475000,13.071070083016778,73870.0,5.0,151,BRONX
10469,2,450000,13.017002861746503,73870.0,5.0,151,BRONX
10469,2,599000,13.303016877097587,73870.0,5.0,151,BRONX
10469,2,445000,13.005829561148378,73870.0,5.0,151,BRONX
10469,2,450000,13.017002861746503,73870.0,5.0,151,BRONX
10469,2,481940,13.085574903956493,73870.0,5.0,151,BRONX
10469,2,492000,13.106233995474446,73870.0,5.0,151,BRONX
10469,2,370000,12.821258284620408,73870.0,5.0,151,BRONX
10469,2,405000,12.911642346088676,73870.0,5.0,151,BRONX
10469,2,451500,13.020330651839178,73870.0,5.0,151,BRONX
10469,2,455008,13.0280702801961,73870.0,5.0,151,BRONX
10469,2,455008,13.0280702801961,73870.0,5.0,151,BRONX
10469,2,597751,13.300929558259364,73870.0,5.0,151,BRONX
10469,2,469000,13.058358047428417,73870.0,5.0,151,BRONX
10469,2,386900,12.865921540688605,73870.0,5.0,151,BRONX
10469,2,559000,13.233904752137237,73870.0,5.0,151,BRONX
10469,2,565000,13.244581010128577,73870.0,5.0,151,BRONX
10469,2,485000,13.091904169919621,73870.0,5.0,151,BRONX
10469,2,20000,9.903487552536127,73870.0,5.0,151,BRONX
10469,2,190000,12.154779351142624,73870.0,5.0,151,BRONX
10469,2,399000,12.896716695872,73870.0,5.0,151,BRONX
10469,2,560000,13.235692062711331,73870.0,5.0,151,BRONX
10469,2,300000,12.611537753638338,73870.0,5.0,151,BRONX
10469,2,545000,13.208541073645382,73870.0,5.0,151,BRONX
10469,2,465000,13.049792684569493,73870.0,5.0,151,BRONX
10469,2,537000,13.193753373491,73870.0,5.0,151,BRONX
10466,2,524421,13.170050075836462,72479.0,3.0,151,BRONX
10466,2,475000,13.071070083016778,72479.0,3.0,151,BRONX
10466,2,277000,12.531772785169476,72479.0,3.0,151,BRONX
10466,2,610844,13.322596886405313,72479.0,3.0,151,BRONX
10466,2,514000,13.149978544437301,72479.0,3.0,151,BRONX
10466,2,475000,13.071070083016778,72479.0,3.0,151,BRONX
10466,2,460000,13.038981768465277,72479.0,3.0,151,BRONX
10466,2,430000,12.971540487669746,72479.0,3.0,151,BRONX
10466,2,462000,13.043320170063875,72479.0,3.0,151,BRONX
10466,2,500000,13.122363377404328,72479.0,3.0,151,BRONX
10466,2,524700,13.170581949674803,72479.0,3.0,151,BRONX
10466,2,529000,13.178743710840436,72479.0,3.0,151,BRONX
10466,2,290000,12.577636201962656,72479.0,3.0,151,BRONX
10466,2,390000,12.873902018105829,72479.0,3.0,151,BRONX
10466,2,422000,12.952760593018148,72479.0,3.0,151,BRONX
10466,2,545000,13.208541073645382,72479.0,3.0,151,BRONX
10466,2,319160,12.673447823422217,72479.0,3.0,151,BRONX
10466,2,405800,12.913615706373852,72479.0,3.0,151,BRONX
10466,2,440000,12.994530005894443,72479.0,3.0,151,BRONX
10466,2,400000,12.89921982609012,72479.0,3.0,151,BRONX
10466,2,100,4.605170185988092,72479.0,3.0,151,BRONX
10466,2,95000,11.461632170582678,72479.0,3.0,151,BRONX
10466,2,499000,13.120361374733656,72479.0,3.0,151,BRONX
10466,2,502000,13.126355398673866,72479.0,3.0,151,BRONX
10466,2,295000,12.594730635321957,72479.0,3.0,151,BRONX
10466,2,430500,12.972702602849923,72479.0,3.0,151,BRONX
10466,2,380000,12.84792653170257,72479.0,3.0,151,BRONX
10466,2,395000,12.886641043883259,72479.0,3.0,151,BRONX
10466,2,330000,12.706847933442663,72479.0,3.0,151,BRONX
10466,2,235000,12.367340793126296,72479.0,3.0,151,BRONX
10466,2,280000,12.542544882151386,72479.0,3.0,151,BRONX
10466,2,450500,13.018113356030529,72479.0,3.0,151,BRONX
10466,2,450500,13.018113356030529,72479.0,3.0,151,BRONX
10466,2,450500,13.018113356030529,72479.0,3.0,151,BRONX
10466,2,450500,13.018113356030529,72479.0,3.0,151,BRONX
10466,2,10,2.302585092994046,72479.0,3.0,151,BRONX
10466,2,280000,12.542544882151386,72479.0,3.0,151,BRONX
10466,2,290000,12.577636201962656,72479.0,3.0,151,BRONX
10466,2,414000,12.933621252807452,72479.0,3.0,151,BRONX
10466,2,510000,13.142166004700508,72479.0,3.0,151,BRONX
10466,2,335000,12.721885810807203,72479.0,3.0,151,BRONX
10466,2,420000,12.948009990259552,72479.0,3.0,151,BRONX
10466,2,325000,12.691580461311874,72479.0,3.0,151,BRONX
10466,2,420000,12.948009990259552,72479.0,3.0,151,BRONX
10466,2,318000,12.669806661762314,72479.0,3.0,151,BRONX
10466,2,455000,13.028052697933088,72479.0,3.0,151,BRONX
10466,2,350000,12.765688433465597,72479.0,3.0,151,BRONX
10466,2,539672,13.198716826586436,72479.0,3.0,151,BRONX
10466,2,340000,12.736700896592344,72479.0,3.0,151,BRONX
10466,2,100,4.605170185988092,72479.0,3.0,151,BRONX
10466,2,565000,13.244581010128577,72479.0,3.0,151,BRONX
10475,2,60000,11.002099841204238,43208.0,2.0,151,BRONX
10475,2,270000,12.506177237980511,43208.0,2.0,151,BRONX
